id,tournament_id,blue_team_id,red_team_id,format,match_date,started,finished,schema_version
2755241,,375,47472,best-of-5,2025-02-23T10:27:00Z,True,True,3.39
2820996,,52747,47558,best-of-3,2025-08-14T08:00:04.926Z,True,True,3.47
2616404,,47961,3483,best-of-3,2024-02-14T10:31:00Z,True,True,3.2
2634826,,353,47376,best-of-3,2024-02-12T18:01:00Z,True,True,3.2
2820979,,3483,48179,best-of-3,2025-08-01T10:17:42.364Z,True,True,3.47
2783961,,52573,3389,best-of-1,2025-04-13T17:53:00Z,True,True,3.43
2796149,,54284,48070,best-of-3,2025-05-17T18:00:11.681Z,True,True,3.44
2682792,,52817,47961,best-of-3,2024-08-01T08:00:00Z,True,True,3.11
2780971,,52726,368,best-of-1,2025-03-27T11:10:00Z,True,True,3.43
2755216,,47509,356,best-of-5,2025-01-17T09:23:00Z,True,True,3.30
2788229,,52822,47472,best-of-3,2025-04-30T11:25:00Z,True,True,3.43
2671094,,353,47376,best-of-1,2024-06-16T17:31:00Z,True,True,3.6
2825385,,52910,375,best-of-3,2025-08-23T09:00:00Z,True,True,3.47
2682815,,52747,47558,best-of-3,2024-08-16T11:58:00Z,True,True,3.12
2616453,,48179,47558,best-of-3,2024-03-17T09:47:00Z,True,True,3.4
2689920,,47363,340,best-of-5,2024-08-31T20:00:00Z,True,True,3.16
2811009,,47472,47514,best-of-5,2025-06-04T09:07:00Z,True,True,3.45
2783609,,52416,54198,best-of-1,2025-04-06T00:03:00Z,True,True,3.43
2825043,,47497,54198,best-of-5,2025-08-24T20:00:22.790Z,True,True,3.47
2781264,,353,106,best-of-3,2025-04-21T15:01:00Z,True,True,3.43
2782448,,3483,47494,best-of-3,2025-05-02T07:59:00Z,True,True,3.43
2821000,,407,52747,best-of-3,2025-08-16T06:00:05.172Z,True,True,3.47
2616445,,48179,47494,best-of-3,2024-03-13T11:20:00Z,True,True,3.3
2682803,,4035,48179,best-of-3,2024-08-08T10:30:00Z,True,True,3.11
2825393,,52796,52822,best-of-3,2025-08-27T09:04:00Z,True,True,3.47
2671082,,52661,47380,best-of-1,2024-06-10T16:55:00Z,True,True,3.5
