id,name
375,Top Esports
47472,Invictus Gaming
47558,Gen.G Esports
52747,NONGSHIM RED FORCE
3483,KWANGDONG FREECS
47961,DRX
353,SK Gaming
47376,Fnatic
48179,Dplus KIA
52573,RED Kalunga
3389,Pain Gaming
54284,Isurus Estral
48070,Fluxo W7M
52817,OKSavingsBank BRION
52726,Suzhou LNG Ninebot Esports
368,LGD Gaming
47509,SHANGHAI EDWARD GAMING HYCAN
356,Bilibili Gaming
52822,WeiboGaming Faw Audi
52910,Xi'an Team WE
340,FlyQuest
47363,Team Liquid Honda
47514,FunPlus Phoenix
54198,LYON
52416,Disguised
47497,100 Thieves
106,Rogue
47494,T1
407,KT Rolster
4035,BNK FearX
52796,Beijing JDG Intel Esports
52661,Team BDS
47380,G2 Esports
47757,LEVIATÁN
47370,Team Vitality
53165,Karmine Corp
47960,LOUD
53168,GIANTX
406,Hanwha Life Esports
47619,Movistar KOI
20483,Anyone's Legend
47319,Royal Never Give Up
47922,Rare Atom
52541,NRG Kia
53073,Shopify Rebellion
3113,Ultra Prime
48173,Vivo Keyd Stars
52606,THUNDER TALK GAMING
47435,Team Heretics
52905,Shenzhen NINJAS IN PYJAMAS
47351,Cloud9 Kia
52572,Immortals Progressive
369,Oh My God
47389,FURIA
47499,Dignitas
55749,Natus Vincere
48610,TBD-1
